City,IATA Code,Lowest Price,Links
Paris,ORY,479,https://www.kiwi.com/deep?from=DFW&to=ORY&flightsId=1b361cdb494500008d2f78f1_0%7C1cdb093e494500009697e3a1_0%7C093e0a7c494600008c10dad9_0%7C0a7c1cdb4953000026b58de8_0%7C1cdb1b36495400009a5ce998_0&price=397&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BHjDg89Nd3rqbC5LF2v5Hfzr5sq896q2TQkrMS_aj3CSM5sy2ke2nk-tTQM95I6f48g_ntHG1xXL506v4J6g49U1b4vzJ58v1Q1LSjZj_UhETwgtDiMRflAwOo0hyep2k7iq8O0NWJPGNcszCVTtJiWG8LJGp37qlnnaOsGlIwsI33qYDdRPQ79fx5OEWpmkJenPxjbCUEzcOXxcCaZBg7c_TOe5-PGOXIEUTiGGr7FFzvoz9wLJDJOsoI4UYpGrq6pqFi5NfW9mfujjg1KjE_nFQ7aH96ahLf8zyILPxmDba9X8dA8EwE8mAvrUGLzibiAvDjRMW7oe_sMT_XmtSb9Of077AetAItNWM8CunHw_eWDv_pbpNlrO-moV1KN66J8bGZQZ_5pTOG1k8SGvP5p6F2o4FTzuNB9ZYZDL5zet-Gxz8TMnKcAY9eU04huvQ925b7KU_lO5KyxNN-ktnSkDUhDEu1bYNrVUC2wVGvxnfQA_JvTObRVWvMAcgIpxApPGqzwwEVkwuvCp264ppnpHD-sHa-f2BOQiSIirGVPblAx6sqo5Awlf-M25h7N7CyDoL4AopCHPGXU3M1c1gQxteRWMDG-L4ZNyy1qhtjfXeAM8CtioBeFC7dLXp1oQIifW5n3_8-CImuJNyPQqJ_mzcR2f2UzYk8SXDWMqQWnKqRoNb6HRHRtRORYcVDT6Ipnj1vF8jpqBAzPhWH31r9St8HLGqBZtuMuBIAjyWP8ClR6BE4mP5uZWhvGLWiQ1K1uwJ1nWIAubl6_XUQv4aGZC3UBS0nSP9xNznTenhndhEk8fhCLSijTVMlBQfrdmQgZAMk0PGp-6qBPBxjndvl0kBypqOBEf0poo0YOpK5BFt0rDwN6r0ve4vfwkIK56ep8y8u_5_wg3bliFwI0GXIA==
Berlin,BER,617,https://www.kiwi.com/deep?from=DFW&to=BER&flightsId=1b3622ee49400000c33e5ccf_0%7C22ee004249400000c4908ebb_0%7C22ee004249400000c4908ebb_1%7C22ee004249400000c4908ebb_2%7C004210e8494b0000b779c2ea_0%7C10e81b36494b0000dbe43f14_0&price=511&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=Bwrr5V3pvWf2_174vGFaKLlebzXt9pLmst-TXl8qqvVj693jzSTT8fofeL_M4PY3Xg70U5Lv913F8pdbnAbzKKifznbOAAD5bdt13sel8OP6dotgjTFeDhsfE6gB4Rkn6fzo6z2h3Pzrnc-40IyrgQCk_WUqcxmm3ByaGIr461KH_hAvQjMe01Mj2I67d2HGZreU_5dCP1nugMlrw40Q40ZIAkuFAITzs5ALlc3ang5OnZWeK3pKYKfl_Yel0QYh3qOL6o6m4nQyRoqin0Hr1i_4HiZ_fVC2dp3CG5vrH90E7m4F0ZVJsCtox8pMnM3UfKWKKy3SVINI3Np7pS-zCGNBKdGJ-QPtGgnVE4_X5LvUufPjRsQ3WpD7B6u_RLroGgJkbU22nHCUhvtaIKrP6nxNkvKD9nivc9j3QhpdYE4IzKkhKMkcC_X3hQ-i1BHiT3yEOfmhEo4EF3A4XuVSFzzuvwVjPYXda9921fYofaEv-e490K9MJoYMG_U7PjUV28urnW9eTwdeix1wt0PfD25VF4PUy5_SNvppC0tYeaI_QofAsL-WIEydUyd4_iyg3HYiIVUmch7IWYR9uD-S2_LMEyWePC1oLMH2NJ3kg_qbzE9ezS50xCjTNIp1Zt4eKsh0YjRAQIuKLsrzXN7Ll-lOJOE4XoxyujoBt9bRBHdqDicIFnC289EgZyNGT_aJkt5HULleMkfPyObmK8LsBbKVr0xRexgXTToELLs_M5jbqdD2jrhkxfSbknxgZK5bRsRslGWht2BHNiLNNoXUeVUHefLrtiIcG-zSFts2ZJHQgxEX7016bAruj6JZY5WBCNTlJS4h6lhJeF60enrO-TDdjlsUiYj_u1bnt8MgnzFVEQunmgzRu_VWfCIHm3H2q
Tokyo,HND,1638,https://www.kiwi.com/deep?from=DAL&to=HND&flightsId=09c5243e494c0000439c9b60_0%7C243e097b494c0000e49e8083_0%7C097b098649614968435e21e6_0%7C09861b36496100003d7efde4_0%7C09861b36496100003d7efde4_1%7C097b098649614968435e21e6_1&price=1357&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BHFS_YxJBEHF7O-KOaFcDAoyDuzAHnORv8lvIFuCX7UG_NowbhZQuFOpThRpr2Fpx36K46M7XiRXfvxqxE1G0KFHyEjk7fNPMjwpegOEqID66JHK_0lBawUGZRVrJinsuJ6nKuTDV3ISoi6TfoxU73R99lb_XEDFwyU4KmUVKlTzB8EkEvry9jfsYe8wFbnwnNunSWiSZA9WgaTcvlb4hYuwHpVFEfD5-Z6GGfamSz6CjaZLK0zGzYzhZ_2ExXLnFFZntKzU1nrHs0ETOsYwdrjbibUlPCZBnX1VHcoKtsBXlS5vKJy06cDpW6bWBIu7GQXrvTc-LbiBl7W30Vf8b7pL_qvH5if5-izKSKp7A_Y1cQdq8c2aPmgn8FAgRGGAr_NMvEbjxLaASVQ5H5mgdviCFazO-Q1zb9voAW1qnv5ffXij3OcZzQejEUFfq-QisTFxNVXs99XlDISNjoC0oZLEdEp73eqcSjK_cvtlVf85Fja6BYNlKySc9lf1MdeDBs_7ShdzkPX-eT5bkrsY1wKp5LTOwXQLw6VzWMdfJipB526tDmLDBKwMhuLDZ5i23n77pGWRcbtRhcfJpkaCHjSsPOYY21r_YNb3EGEqrUHQznR136LjFMLVLcrXAvMdJdH_ERrPpCTkTsxW4KIWv8MMUzsJv8-bfBIoBi6h98GV9GKoHia0MieNP-AYn4aO6lN7tZvCVIdA0BMXX-fqZK2WMoUPIVDOgP4bV28JW4cYaobdmHZ95AQXvKpDwkpW_L0VONtyZW-s7ZKjQ5oCxMgLQzqbWWOPhT0BITCFABo4Wb-xmpzGa39MY8b4UoItq0vMYJF7-sEENQBi6D9_Uf1zzPheyG1tfGiUUlZwuUTDUUel5XdPTya8d6sHLFlz1DOroOavjTkBz164xLgAShv7TfO0jUZhxt7wFqqbaekDvSc4C8JB4fAqa2UOOURugT_CcqM_j5m_QwVoKaSk_Fg==
Sydney,SYD,3368,https://www.kiwi.com/deep?from=DFW&to=SYD&flightsId=1b360372495e0000732f469b_0%7C1b360372495e0000732f469b_1%7C0372243e496a000095605122_0%7C243e1b36496a00000dc89549_0&price=2790&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BsDwfB9boArAYlRte9cAy8elHbTOj2So3owIbwzeAJ34YK9oa7c_7ay54VGWMcXqYrBZAdL5dQSH4-nageJ8BanPT4PVk9SB6SRSvPhLLNmZ1iAr9vFsapaZKRoMUdq6tfk83rYxLXgqCKAtmEx1Ja9VHvFJT1h3gHI5FXZrnp7I4S07802ZCLicK6y1x7lI1LsyGJ_om6zMHWZ3mktlT4phkNcphWw0KINIwDQd5n-D2k16yIqHtMBXZeO5_nJXhzkCThFYZ6HdWCI2Xgm34C_kb3zzNPXPc7-tY2zqOVJ3pM_MJ-J26YO4ptlXNk-gScYP2aYPpfG43GzzCU0NHDiJ20qbLOBaK9X9lrcI0LhYZDFtl_vohzubao7a1ADKxvvpFMJRhUhRBWAfnrSEaCnVzmgpcZoyrG5lHvj_q736YmAC6LiLy_eaywIAppI2i0cwCKx390BJB2uIblGPoU-_31yNX1vpEjJ_r-o6nUS4LZTdokSVHn4cD8d9CnKV0dEoS7n5UsgFdaPhUCMFskslfm5Qk1PvRSuz-BsRy9L2TyPjV3MiImYUn0jbLeLvCLSGs_vUXEu5VWTBRFjc0SwTNbloltxQdpIMEw_jPa6FgdzsirVAdrmik2PQx7MecAImvYfuaL_OWqmyEcaB7D7ngl3k6ULda1hyrpgunPuWOHbez1c1uLvIIOM4tvqqhdCd9dHlrYWWE0gxez5KUR3qev2NF5ujpIL3jjFM1va3teFqVWmm5S3PQmyacOR_6pBx_tGLg7i5rOvCJOeLZ07dEqdCaIUcdR7Uw_FyO5B6loAGBIRYb17Mx6AWSFc1Q
Las Vegas,LAS,52,https://www.kiwi.com/deep?from=DFW&to=LAS&flightsId=1b362446494a00005a3709cc_0%7C24461b364951000025593254_0&price=43&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=B-jx5oFofDqaxsnYlzodx804cbmJOI_X53z8821FxUqrd5aHKjqAQOKnDA_O0Y4pwAnQCJFeWQRQM1crrVlvigde8z2mZy42aQ-1cMInwHMiUQksD9kE7e6ffBtbLKjF7a424Qq0mqsM-x2-J7G4vuFCH0raan43vyqgk_0rMUbWIJ-UHp4VoPwcLDkBa13bv76BmwNSfE4fc8gX116ji_T4kTEhIdcoEBZvX98gCnUYsVVNuzfIyFi3TPpQzRqkbcYGMioC_rTKUtPFB7A7yrcYmUb62m4PKmbpEUQUDe80O-GEmP5aXvN429yK1nKbIFwXpdX1CzZZQWC4NkBYlt6VSS-40yEYhVM89tK0IUTdG6imenPS_Tg2JYPv8QBCkw4WeYAwng5-R-vcHiH3tOSytGNXP29To-FSpJmw3Z-dq2Lkieo0KxhNY68wBIpos1zYc8CXFsofyso3AgRmkZ9NzpzJrgZsQxIeaDHQhGQPcR8qM3SOZ09U_8S1pXBTqXSaYba_aAKn2nHOZT5JQFHX_bgihQ6VPqirsUBveOZ-PmZF2gotemUVupRO7zjtVPIL23tlREnGHwgd0hGStqz80-7KW_8dowyeHtOjWdYUpBUrfK5POLeC4HTId6sS1h5XTFGGub0mdyhBQw23CXiG_nXwMqbXdV1pRWoysEsxIMrNtYGFihW4tybjiLtljviQ_oignOSYmTIAnkecBDnazfEqn901we7K9xE4_7uA=
Italy,NAP,644,https://www.kiwi.com/deep?from=DFW&to=NAP&flightsId=1b3620a1491200001368b83e_0%7C20a119b14912000059c26981_0%7C20a119b14912000059c26981_1%7C19b10a8949290000ce4b24cd_0%7C19b10a8949290000ce4b24cd_1%7C0a891b364929000076cc6eb8_0&price=533&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BF-IK4m49A7CTZj9-iyFR5yChG5Ldtuawb5EufHAX0JWEoysYJhwA41PR5XY57NgnLHp_HF6QV8_jR-aFuw_V-VtJWuJuV6VJaoqDl0u_f95r0y_BtwQ49izjSXlAfWF6M2MDgbhb06_H9aYdmYbxOBLsaWSeW0dkatWAYcpdLgefbdnfEsbeQxbAldHPvO6rVrXi00e_o91NmmplpXsL5N6xIO43HkBy5vm81VagD4SeyNqLbAkXZDUgniR7vCBzqji6UPs6PZPrMvTL4BNSFpO63ZsHBPn2QNo9oGgNqvKAKxhWagKtg0WTJw5GPUh--A5DH9ZyuiO-ifBIyOuMlN-pvdHu53xs71mg539immZfvJ9y5baey4UfjkkYH5CE3dhrL_y9QMfn3OAzbjvaW_-8TDbhVHB2K6E8QGi_o_LRL3c_uePx4WeU_PLRwTf0BHZN4icIThUjI23u8mgogH8LiYsPeTTAt2ABsSPPNtqrLVMD2dI7pGd0FIKm2JFjQsHu7xAgO2rq0XwkIhiJ3nw4MlxjriU8nZ4of16b2T7ZFa7a3XIbrybquFoHPjWGkpVqUkYbSFhUCrxbjxNxtFWSf8TV8lqNCZd2sjSDVeKNI6yAr7Cn5hbUAuAEj6vJC1eT241eyXyE5Gx2h3eZdXv2xRGC7HFlqzDXd8wDgwG3kFAd9vA09fyLw9h_zrDbJjMT8UZA5x31-1mAGsG6lo_fkKTzKMipr0tQjA6-bA6mzWLgP1A6s6IG4Ex71LmzuAiBHGpwqS-eKPv75gaN-av6D2ah80ao27Va92ZRVIvKg6IR-VkVWxAks4V8xAuM7FiS9YhxtR_lT5Qbr0iYznfYCVLs0caFl_n3ZdZ8ouQ=
New York,EWR,66,https://www.kiwi.com/deep?from=DFW&to=EWR&flightsId=1b361cdb494d00007ec46cf1_0%7C1cdb1b36495500009616f7dc_0&price=55&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BE-fBsGL6uBlmNSu8n5qB2yKd7nDRx-amZjj2MrXBfowWf_c3NtVAw5aAuf6FE1ikT_BPY0ya0DVI8eiCV1cGg5cJWo8sPv26cQ1-Azx8QgTRiEIqGY8bRuSBDzzdEz0sFDdgfRXv-Vmzf1240b5OecBp1prkTa3kKTMlm5HQkrX3UdWgDshW3F26A0MGLf-j_djpvXfDLRV4k6aXMSQIkt6rl7qoOSnsDtm5Ic5O-_7higft0IwOnULB7O6qE12qcJS0vSu5xxXYdoB7h4bmMeU6QwtkDsHTTPKyFIP4hsNSC-Wijx4oJgQnkcvxJxzZaDpMbZsmltW2TfUU-aArQ59LPkRnc-A3c0rwARLdIPCiAIE8T-z-4x-T61xWMpozp5FN6HJIlDvV1idPhlwcqYhcrFsznTkqwKNhIZhcDVlKcqUOrVcCIVW6tZzWw8_DAHAjrVt06ZNkejBgJ2wjkLNTO8KP6YiEBUK21sg0rWcZxKHjbAzqoVKd8Nva4whUan-E6yxXDaTe_15pHbosYCyD7tFyNcy7JyCCw-uR3ER-i3kJj1EKMDD20jbAjfw1ItcCo0_LQ_md7uDVhmYkdFmY5YFAOXrJ1jd1CgIYzeT_CVurVoBWh1bDeDrDAQHsPcY8bMA1jajpWMY5UbslTG1J2SppI2ObBNtRIiXPBIw4VHkqfrtGQWxOed2OW0OWB-y6GQrlyhXL57og7axQDhqOGyvsTnLVm8pu9heZm_8=
San Francisco,SFO,104,https://www.kiwi.com/deep?from=DFW&to=SFO&flightsId=1b36071349280000b498fbd2_0%7C07130f9c492800001f814572_0%7C0f9c2446494400009d3f9b8b_0%7C24461b3649450000e7656ec0_0&price=86&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BGROVnU09JKrZx4vSb_FEulzun9cl35cfe0NTEBxVciP_V5OU8U21QwQbnpActNISDp-o7djvE0XjkTX9S6YMby1lt2sRMzs9MCNJX2LYAg8SwTj6wI2ES1rgVn-BnJi41BveEmKcuc7MlmlEjVVXliBBsHfs6ucn1gQmWw3R0gQiy9GltI50veLTEYyTHi6ZaFCgx46-6cgreHyV_XjuWX1HE3zxHzX_h3-TdXBNYmWr8CuOcR5k7DvFBn77gN1IXUJWgUlA49bCNKJdB6RG44gwt0qEUvPRX6lqjhvz9VcNS-HuEy2fHuniiXeTlG5c6Dd2H1-8u5DPX3D_L3FjCCWIEftIgQT25a7cj4M_HPbj1hLfeMeijrBdu3P6mlqC0U9IVnb13VRGLPR7rZ73N4vBzmeZ2PCQnK9STSCKonmSaSbUGBuXQHr6hXVepNHA5SKxOl2vl9yXs9r3-avuwp4KAsTXLsL6hNcUU71UzHpI6NoWiXaF5o5D2o6ca44Nya-54H7teLwN91tIM7q_U-ftycUuNeFuixQWzlhahkbzE74z74fuaFVMBOVJC94eR_thUkSqkcye45UoULj8pROmqKV9m02Uug7FjNBjjHoZdROovhDxwfd_2r9MdIprdtwCCYtONK3ELok1zv_g7tzLZGVVUzvwdbpNdF50yQwGY4OXrOu9NSFnH1UomQQomyWhXpKgLWcxkA6ADyYebs1k791uF1Me2Ft4lz-poYHFvWsC1GkBSkMXiP2DlQvpuwFEqgMXsPKzMvpZX5_QcfDTuTf7dqJnMrUs8kT39E8=
Athens,ATH,877,https://www.kiwi.com/deep?from=DFW&to=ATH&flightsId=1b361cdb492d0000f5fa9b21_0%7C1cdb0f0c492d00002aaad16b_0%7C0f0c03ab492e000065bbf4b8_0%7C03ab1cdb49450000d69a7324_0%7C1cdb1b3649450000603b2372_0&price=727&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=Bb7u5o2RBwj74Hp4isGqQPWhSLf01LXmdhAhCHgJega8g11-P_iwLH7xVTJRie_cRwJ9jXJrzhaAcpe8xhgoIj4Uql81OgIfIdyvB8XB4u8xYwZ3y1UncmrDTDALOaC0lRzSi4dxz5mDZlzOuDkW9GMwXf5VG7sGRxJVE9Lw-wigmeDZ6w_z7O0-uEXpYkhvk9lPiWPZgA2hSL0F7iS5y_wl4CClNnBukmWtLU2_4COVcKDRZgRTjce4vKfzF0T9y72_vJZhL612R5fXDNMV1yJjob7KYTrRSTqPNjcMxt73CHemGMaRAhpZUqs38WUrwpu6MuT7lYtwzLKE5WFJ-h_qPCP7N937qGXarYPEPtzUpdVPKvl72ktVqaOwCS9qDGwGKf_tngqc0b4HqT3fESLcfYIWf9mFyKmfg2G8h5aUz1j-SCRt6i22EN_ceqSwsZbaogr948o9RQIVPg2HbE-OI3QuLhT5kZFstgeOXdpUt36ocwMfm8oD2meqOurJ2BxmdzQT9vGaHQOs3K373X4JpJl-v-wYs74rMMy-SG4iRMF1keTAR9wCX2Fiazs8w4kbxE_psI_49aeIcREaCJheANt28gjL_jJ5O8aUYbfIyeWL5nrQImsexqER62GnISOQI5yY_bFFVFV2keSD8cVDjC4dQss3dQRacCieX6iocSQHQ6G7nZZKLPggPFjibwJIEe2UR5Em5qrL93FQ5ckzYSLEREh2kgF8WtwE7fa9AHRnAia2xbgkYOsqoNVBIzOI2U0fsw9GjR1mMPMkUNVVGuhHt0v84mrnhLcidJ85EqXEcFcaUGxbqg2SiGlHH0BcPPHYgAlDaeS9SLLPtbWuKjFpsRmFIwtgAzzxOkBpJupLS5em8LD3iIKIvGCGdZDUsAznHI8aMVdE3njRpgkB-_h6_XG7yfiq3Rn-Jlvc=
Dubai,DXB,911,https://www.kiwi.com/deep?from=DFW&to=DXB&flightsId=1b3621dd4907491507557f81_0%7C1b3621dd4907491507557f81_1&price=754&passengers=1&affilid=dorcislearning&lang=en&currency=USD&booking_token=BhWwzMLLHN0Uud_4znHBdM4Ss5xJIMlM5h3FRzFs9c_u7Cjc5UeHBT6qGcMlEYTATr32lpKlXjtUrPIM65AmqU8BYJ1o80rS1kYGtF6RFwC5Ns9kPFizKNwGlqchL_jIsaCKj-7J-rISMNlx4lcw9OAC_ZV2HQzh_ufpTWZFmfCVqRj1NPmOtfs5yk-oIb9iTa6oRu_35uYXem77FOgXGB_wdgzQZDQvJVowsyrZHx8nR8x2jkay7eP_qbCgi2lRBBUoY0BqbBj3kuYbTm6L7Zd1FUymOjLE9TUAQG5jOZLuDUu8BypUU0nM5FJ_-5nUslhX_4frHuqmaF9gRELrHhg_HDnpkmeQrYTymjsGAh24KU8K0-T3_IcC1CLdd3YozDzuKLE66cKLtUxcSjcy7I3YxaLBEt1tURxeszzzQ4ZVLZnshdtmff5JdgxhX2nk00O-Yp5Qkzuldl47FusI0RBl0NTqFZFVen-m0fgMM8wPxpfuEuzgYpIULcEhZzUKVZfdyHSmqNtEyywzfSaT9uDVoRf4EAEz28ayDAFCc9FgJ5tlrSULmPbx5VRCpnnzcTsu-jm-JKNG57jBm7aavwwT9PPJbVj3xC3FoTrDTBPhgD0iTUkNd2I3XKM0a7sxm26cH847VquDVA4TjsS6VV-oRaj626dOwdw6lhSHVeC-7wKH1qnu1apZvx8MRbxYhzP2HoStEfUuZVLuw_Gle1D_0ACXi3Raxq-hSQ3RGBps=
